Year,Series,Incident,Unit,Value
2016,Death rate due to road traffic injuries,Number of Crash,Number,9694
,,Number of Fatality,Number,5053
,,Number injured,Number,30105
2017,Death rate due to road traffic injuries,Number of Crash,Number,9383
,,Number of Fatality,Number,5121
,,Number injured,Number,22422
2018,Death rate due to road traffic injuries,Number of Crash,Number,9741
,,Number of Fatality,Number,5181
,,Number injured,Number,25148
2019,Death rate due to road traffic injuries,Number of Crash,Number,11072
,,Number of Fatality,Number,5483
,,Number injured,Number,35981
2020,Death rate due to road traffic injuries,Number of Crash,Number,8459
,,Number of Fatality,Number,3909
,,Number injured,Number,22888
2021,Death rate due to road traffic injuries,Number of Crash,Number,13027
,,Number of Fatality,Number,5985
,,Number injured,Number,38073
2022,Death rate due to road traffic injuries,Number of Crash,Number,13656
,,Number of Fatality,Number,6456
,,Number injured,Number,38930
